,Flux
432,1.146405167992157e-07
433,1.4358896499914355e-07
434,1.6749256842323142e-07
435,1.8488081143006e-07
436,1.87392730203836e-07
437,1.7835345723108237e-07
438,1.6955561150078857e-07
439,1.637375502508254e-07
440,1.6105129502598405e-07
441,1.70771165262074e-07
442,1.9710654855307466e-07
443,2.260083938564074e-07
444,2.506700549173876e-07
445,2.6065304992761716e-07
446,2.515752453634112e-07
447,2.3419272102628733e-07
448,2.157359489789863e-07
449,1.995123541240684e-07
450,1.861861187713184e-07
451,1.740925069455693e-07
452,1.6353433320931566e-07
453,1.551358318887198e-07
454,1.4939245892113855e-07
455,1.5247342371087888e-07
456,1.618202154191797e-07
457,1.711659729055659e-07
458,1.7688687639436953e-07
459,1.7238568906891508e-07
460,1.5997212015046337e-07
461,1.4901240826356368e-07
462,1.4277366768765212e-07
463,1.38658801138011e-07
464,1.3693042117359944e-07
465,1.3449987901110667e-07
466,1.3268739096266405e-07
467,1.3429365176489302e-07
468,1.3408928655021763e-07
469,1.3541785791554122e-07
470,1.354010721328276e-07
471,1.3157346492380012e-07
472,1.3055361843648064e-07
473,1.2771075659404913e-07
474,1.2198968094064785e-07
475,1.1706571282679439e-07
476,1.1407164168767446e-07
477,1.1358947784552959e-07
478,1.1668053041280549e-07
479,1.2317497767525608e-07
480,1.2648247995709897e-07
481,1.2573423183577646e-07
482,1.2143580849310586e-07
483,1.1291722753294661e-07
484,1.0486300480327485e-07
485,9.892670439965585e-08
486,9.403403406252968e-08
487,9.005563078317855e-08
488,8.600006778135863e-08
489,8.298756101034314e-08
490,8.196380488952013e-08
491,8.14049243663639e-08
492,8.346443192990979e-08
493,8.68679887987353e-08
494,8.77561900005581e-08
495,8.771807107951692e-08
496,8.448376401895752e-08
497,7.938538753897063e-08
498,7.630934861008264e-08
499,7.326591357353434e-08
500,7.093932199705563e-08
501,6.813288961919235e-08
502,6.715710058515853e-08
503,6.975389047559735e-08
504,7.182850142188631e-08
505,7.37831513251951e-08
506,7.381733627308154e-08
507,7.169810274812766e-08
508,6.975329257256643e-08
509,6.742796341139452e-08
510,6.414766711249453e-08
511,6.01704004030846e-08
512,5.745336034716137e-08
513,5.86455242425272e-08
514,6.241847172750639e-08
515,6.567662446371308e-08
516,6.737146194603244e-08
517,6.609681569269588e-08
518,6.352463405781025e-08
519,6.198467059502583e-08
520,6.098620347727504e-08
521,6.051258319528183e-08
522,5.988632505816664e-08
523,5.85726927171166e-08
524,5.7215423595692006e-08
525,5.4443881291468986e-08
526,5.333699305491478e-08
527,5.477829357724212e-08
528,5.56754640586495e-08
529,5.7282917524801736e-08
530,5.7017125735792716e-08
531,5.5615413207134596e-08
532,5.574137195732671e-08
533,5.502973480864772e-08
534,5.3651761358224537e-08
535,5.123658524444158e-08
536,4.791292671349886e-08
537,4.5509134017647e-08
538,4.3233220582072046e-08
539,4.190989850563243e-08
540,4.2381408641165876e-08
541,4.395576776947957e-08
542,4.687269102025461e-08
543,4.966400236181554e-08
544,5.064012316187688e-08
545,5.03289920567207e-08
546,5.117397397752737e-08
547,5.293087723114444e-08
548,5.4798149574340136e-08
549,5.7168334511466386e-08
550,5.968900103135081e-08
551,6.262010097626676e-08
552,6.567059093861706e-08
553,6.801603191604507e-08
554,6.750192875617253e-08
555,6.577673589664535e-08
556,6.551156234078127e-08
557,6.559790614518976e-08
558,6.608811562549227e-08
559,6.562930417211604e-08
560,6.304137381734388e-08
561,5.966223647778494e-08
562,5.623351281791554e-08
563,5.332266147189925e-08
564,5.164039527144031e-08
565,5.0801355702468104e-08
566,5.0658720096662666e-08
567,5.115534805874158e-08
568,5.0639813222690605e-08
569,4.9425831863700614e-08
570,4.7220748648481015e-08
571,4.362367376569354e-08
572,4.086130635497532e-08
573,3.931267566297795e-08
574,3.8006408036317875e-08
575,3.806826715259048e-08
576,4.0011440380181515e-08
577,4.213529633824555e-08
578,4.519676672904122e-08
579,4.928959014701365e-08
580,5.302313122732586e-08
581,5.692081817746641e-08
582,5.9603736430945486e-08
583,6.191836276198478e-08
584,6.453902637116633e-08
585,6.744762366493691e-08
586,7.164036129303316e-08
587,7.483882522176635e-08
588,7.697994282983198e-08
589,7.71069486169762e-08
590,7.629625372666671e-08
591,7.789162831791938e-08
592,7.985246548238326e-08
593,8.179221893377809e-08
594,8.39004970256179e-08
595,8.623544721124586e-08
596,8.957440226975986e-08
597,9.189196182104962e-08
598,9.222776545005042e-08
599,8.911748883347993e-08
600,8.468073996512373e-08
601,8.34751659033795e-08
602,8.42276491778005e-08
603,8.376738409727562e-08
604,8.085314551779243e-08
605,7.524283088213763e-08
606,6.915604777963639e-08
607,6.591544301708563e-08
608,6.464889875628926e-08
609,6.329650892619465e-08
610,6.232935807759013e-08
611,6.087142230964503e-08
612,5.9146780128772946e-08
613,5.903210215170059e-08
614,5.917889194861166e-08
615,5.806100274012175e-08
616,5.584240241877152e-08
617,5.388316216596577e-08
618,5.269484598601631e-08
619,5.1537861427924235e-08
620,5.0934075339635825e-08
621,5.037816787024423e-08
622,4.985285119013221e-08
623,5.004256622174466e-08
624,4.977580973620141e-08
625,4.86482288590871e-08
626,4.6358405997496926e-08
627,4.372256537449006e-08
628,4.2175308815431304e-08
629,4.3507777926803565e-08
630,4.751950014880352e-08
631,5.260505014852099e-08
632,5.90570450813603e-08
633,6.332634046031575e-08
634,6.485165974254333e-08
635,6.486499307233745e-08
636,6.377208567737082e-08
637,6.377596912581143e-08
638,6.443401082832011e-08
639,6.552320242444736e-08
640,6.517088232861933e-08
641,6.259129419950301e-08
642,5.941966483517345e-08
643,5.6515198380935383e-08
644,5.892617862151788e-08
645,6.648356087302337e-08
646,7.388520488240913e-08
647,7.98716844794155e-08
648,8.105951608007412e-08
649,7.777856449381317e-08
650,7.382570807225579e-08
651,7.068063730478009e-08
652,6.716257360157686e-08
653,6.332131623504869e-08
654,6.171418462501625e-08
655,6.133026619728532e-08
656,6.167223958039364e-08
657,6.195501562312262e-08
658,6.005951405022037e-08
659,5.756606264716589e-08
660,5.567195645778492e-08
661,5.435476091940394e-08
662,5.4031784928509014e-08
663,5.3328606491470957e-08
664,5.1558245848428453e-08
665,4.925242125514659e-08
666,4.638967912264827e-08
667,4.303821120588936e-08
668,3.948439008074232e-08
669,3.6273451067075737e-08
670,3.434610596780003e-08
671,3.3411495394684157e-08
672,3.264534587953428e-08
673,3.2230811338653e-08
674,3.3045230172478344e-08
675,3.461570702013166e-08
676,3.630413618911989e-08
677,3.809872244175844e-08
678,4.176385014993305e-08
679,4.7187465174295654e-08
680,5.204371869415348e-08
681,5.7451846814641906e-08
682,5.97941620806955e-08
683,5.990224591001429e-08
684,6.142452144099953e-08
685,6.08820694493832e-08
686,5.8706362683837603e-08
687,5.5398226505351506e-08
688,5.103340385211622e-08
689,4.805506344288774e-08
690,4.867455714778519e-08
691,5.1732101566919296e-08
692,5.465889154751732e-08
693,5.724300252591852e-08
694,5.68562023152731e-08
695,5.37330820404167e-08
696,5.082227379587414e-08
697,4.7440046401514126e-08
698,4.3571041767147156e-08
699,3.995143759594232e-08
700,3.6256293838965734e-08
701,3.300566444168788e-08
702,3.0630097974133865e-08
703,3.1404588161169747e-08
704,3.48391293339592e-08
705,4.2055216419911294e-08
706,5.414969478321835e-08
707,6.39597252545555e-08
708,7.023875266761113e-08
709,7.18523773161594e-08
710,6.787963951727999e-08
711,6.272917554560813e-08
712,5.818125797834323e-08
713,5.417563217504461e-08
714,5.0883068977932216e-08
715,4.855726211997136e-08
716,4.6514035940841366e-08
717,4.4312632371835456e-08
718,4.230636917986609e-08
719,4.2388232385550495e-08
720,4.3911909335128854e-08
721,4.6108218635805716e-08
722,5.2659896940862886e-08
723,6.376890726938255e-08
724,7.666701653854377e-08
725,8.977370146756392e-08
726,9.986565424928856e-08
727,1.0393346151713651e-07
728,1.0851948806812113e-07
729,1.1789852531400492e-07
730,1.2561872246668408e-07
731,1.3160685017833287e-07
732,1.3618366498497684e-07
733,1.3750279825691903e-07
734,1.376275182469822e-07
735,1.3648976624563582e-07
736,1.309157895342491e-07
737,1.2126171057658623e-07
738,1.1308553949048068e-07
739,1.0762698547035229e-07
740,1.0336428683940457e-07
741,1.0224035805173583e-07
742,1.0249132213627137e-07
743,1.0211718985152697e-07
744,1.0236797084386698e-07
745,1.0194367372760067e-07
746,1.0004930633104296e-07
747,9.726937569621741e-08
748,9.569243813479588e-08
749,9.399819439558074e-08
750,9.011087505685759e-08
751,8.58622876343604e-08
752,8.273855896762228e-08
753,8.401470328371462e-08
754,8.921323328125163e-08
755,9.462941029564705e-08
756,9.762896958669148e-08
757,9.786607287811006e-08
758,1.0007946587264079e-07
759,1.0457151964134258e-07
760,1.0796436800159744e-07
761,1.1049293141577472e-07
762,1.1208113829842349e-07
763,1.1308552439102938e-07
764,1.146019718806442e-07
765,1.1356677464476525e-07
766,1.0788509716134221e-07
767,1.0057158742186833e-07
768,9.367692863048548e-08
769,8.738423571100113e-08
770,8.294581218482215e-08
771,8.123873111171185e-08
772,8.05898581638335e-08
773,7.988087251150265e-08
774,7.821778533959604e-08
775,7.39335068096725e-08
776,6.907765614992102e-08
777,6.625739056226774e-08
778,6.535665155784485e-08
779,6.56959864824023e-08
780,6.568888788864761e-08
781,6.353249915401228e-08
782,5.9479249273482695e-08
783,5.481882435274257e-08
784,5.0774441925385295e-08
785,4.984699765433456e-08
786,5.3287297697810304e-08
787,5.833356769844206e-08
788,6.251271070232395e-08
789,6.386143949486449e-08
790,6.082529551169583e-08
791,5.596776595086091e-08
792,5.4345989407112035e-08
793,5.5436390573294775e-08
794,5.660525162727083e-08
795,5.800722658260395e-08
796,5.7781504008145295e-08
797,5.630335365225191e-08
798,5.762301821814295e-08
799,6.113571622005602e-08
800,6.279714439758731e-08
801,6.301742974068933e-08
802,6.106568663804289e-08
803,6.023411809983161e-08
804,6.407320657296832e-08
805,6.86408861798177e-08
806,7.248929787087618e-08
807,7.472786829147186e-08
808,7.544258156244549e-08
809,7.692332353120791e-08
810,7.903099127840002e-08
811,7.910289221089405e-08
812,7.64926029842394e-08
813,7.249334266585314e-08
814,6.750650838662776e-08
815,6.233085752284986e-08
816,5.7901329636917014e-08
817,5.41097187836117e-08
818,5.351367542637821e-08
819,5.608973646255735e-08
820,5.829213351295957e-08
821,6.054182664145254e-08
822,6.07251440715156e-08
823,5.87026296886001e-08
824,5.868236678188651e-08
825,5.991413020265636e-08
826,6.111021726638455e-08
827,6.342419561510883e-08
828,6.556927608972303e-08
829,6.824984857893111e-08
830,7.573736401708113e-08
831,8.456362806193222e-08
832,9.061976570155697e-08
833,9.588278938406975e-08
834,9.980701058669577e-08
835,1.0228880971540859e-07
836,1.0468492894469541e-07
837,1.0604143636249694e-07
838,1.0406229295138481e-07
839,1.0055606371645232e-07
840,9.753795742749207e-08
841,9.300916172848325e-08
842,8.802074555718142e-08
843,8.491867098458525e-08
844,8.467680378047644e-08
845,8.663412323248975e-08
846,8.929571086927921e-08
847,9.105363982286952e-08
848,9.209827588103674e-08
849,9.413844837999275e-08
850,9.53121035520332e-08
851,9.433089313820617e-08
852,9.498530365982832e-08
853,9.734927300969892e-08
854,1.0291434542034445e-07
855,1.1327291062180392e-07
856,1.205706195019418e-07
857,1.2592605752696993e-07
858,1.290709516331096e-07
859,1.2660135630089385e-07
860,1.2212872047116508e-07
861,1.1476584833684125e-07
862,1.0691426360325083e-07
863,1.0244783741381541e-07
864,1.0016555383165373e-07
865,9.8161498600743e-08
866,9.475784880494765e-08
867,8.938206390841703e-08
868,8.338135749417164e-08
869,7.783072170893973e-08
870,7.329764947388506e-08
871,7.00928844681203e-08
872,6.735859599754753e-08
873,6.85352362309109e-08
874,7.268171231892305e-08
875,7.577604078979588e-08
876,8.092343645362434e-08
877,8.720609266538711e-08
878,9.503548334711606e-08
879,1.0388193502078696e-07
880,1.1084374153316825e-07
881,1.1395936748895057e-07
882,1.1128843088464928e-07
883,1.0914708787367961e-07
884,1.0768237909105207e-07
885,1.0432664112912603e-07
886,1.014439769747694e-07
887,9.651207924228298e-08
888,8.979837129465102e-08
889,8.53435341399058e-08
890,8.377168068027014e-08
891,8.411951255699676e-08
892,8.710756133415444e-08
893,9.202180535108028e-08
894,9.640712500761971e-08
895,9.876641270038162e-08
896,9.778977153390564e-08
897,9.269829436868026e-08
898,8.577846488200305e-08
899,8.256311837120432e-08
900,8.436930646737823e-08
901,8.846987568116139e-08
902,9.479788803636277e-08
903,9.935559918405135e-08
904,9.905753926369598e-08
905,9.646428540945829e-08
906,9.286785699161587e-08
907,9.018134696637231e-08
908,9.239972519741707e-08
909,9.795722736478806e-08
910,1.0202147920454619e-07
911,1.053790301636655e-07
912,1.0650208872205497e-07
913,1.0718937962218423e-07
914,1.1097044134979789e-07
915,1.1543589694815289e-07
916,1.1924230701349898e-07
917,1.216055761176256e-07
918,1.211950184122483e-07
919,1.1742551655136281e-07
920,1.1217046485568872e-07
921,1.0602841827932463e-07
922,9.905057635164574e-08
923,9.274551860356398e-08
924,8.755846670393302e-08
925,8.375262008783318e-08
926,8.055235816306216e-08
927,7.717212243380695e-08
928,7.949241006614094e-08
929,9.123066857905415e-08
930,1.0609510109685928e-07
931,1.2028559037459928e-07
932,1.2686953091204978e-07
933,1.211325777075521e-07
934,1.1106931995098343e-07
935,1.0146238795787113e-07
936,9.251614916145238e-08
937,8.466453425012137e-08
938,7.781058082530132e-08
939,7.22545227381306e-08
940,6.732907045478024e-08
941,6.267116339225058e-08
942,5.850404702694015e-08
943,5.415364229292547e-08
944,4.9713278033282485e-08
945,4.5954450208152405e-08
946,4.264650518284309e-08
947,4.180685468149102e-08
948,4.345116924011314e-08
949,4.469355233432445e-08
950,4.5249197116982076e-08
951,4.322427741229465e-08
952,3.923934966568338e-08
953,3.6090414696625446e-08
954,3.381887322660585e-08
955,3.203698590310309e-08
956,3.1108287345595906e-08
957,3.099745868162174e-08
958,3.0685212888667126e-08
959,3.12791916363835e-08
960,3.341377246407714e-08
961,3.6634895161132685e-08
962,4.0371405546755424e-08
963,4.259676493292548e-08
964,4.349958837828197e-08
965,4.336212946711284e-08
966,4.22509164763768e-08
967,4.143832477802373e-08
968,4.119449226763744e-08
969,4.172504304814059e-08
970,4.27650387638282e-08
971,4.486353488200819e-08
972,4.685218137443977e-08
973,4.704196321847035e-08
974,4.696276686851501e-08
975,4.637899018886638e-08
976,4.5003591173466686e-08
977,4.414073202402121e-08
978,4.316415879517667e-08
979,4.181024289432382e-08
980,4.017921859383479e-08
981,4.032379665697336e-08
982,4.264141683944133e-08
983,4.4727274992560284e-08
984,4.610454733340607e-08
985,4.5319092539071554e-08
986,4.283718331045317e-08
987,4.077846500807396e-08
988,3.957561854530499e-08
989,4.056805674506796e-08
990,4.318625113435501e-08
991,4.621762605174526e-08
992,4.947086343201734e-08
993,4.999877703111656e-08
994,4.838639924191431e-08
995,4.646025927004623e-08
996,4.421423334177834e-08
997,4.271781002757149e-08
998,4.213299864696419e-08
999,4.444616294183613e-08
1000,4.9218035748730094e-08
1001,5.3325221259420844e-08
1002,5.814721860650264e-08
1003,6.096002166792994e-08
1004,5.990151947385235e-08
1005,5.8386367508152216e-08
1006,5.519773075455437e-08
1007,5.1190457693221446e-08
1008,4.8346411945600196e-08
1009,4.667427080176422e-08
1010,4.600684380830022e-08
1011,4.491865950715338e-08
1012,4.3639293633503566e-08
1013,4.210036432625907e-08
1014,4.4765327885157244e-08
1015,5.2488795029157705e-08
1016,6.231491550789878e-08
1017,7.320842400846344e-08
1018,8.090008153969374e-08
1019,8.683507328050384e-08
1020,9.1939065871991e-08
1021,9.518265914814109e-08
1022,9.49018932426895e-08
1023,9.0511704029534e-08
1024,8.477303367861347e-08
1025,7.993323038967562e-08
1026,7.721490747630107e-08
1027,7.573091688949265e-08
1028,7.404532537681488e-08
1029,7.131579295949109e-08
1030,6.80842137197759e-08
1031,6.396329234811845e-08
1032,6.26669629135576e-08
1033,6.617526618753919e-08
1034,7.054523907901409e-08
1035,7.486571469119892e-08
1036,7.649164291023657e-08
1037,7.500497859619339e-08
1038,7.517948086090381e-08
1039,7.702403292774526e-08
1040,7.833412978114789e-08
1041,7.841321692480924e-08
1042,7.638439531357642e-08
1043,7.317095585968694e-08
1044,7.054136037290574e-08
1045,6.783722441798002e-08
1046,6.421600201580385e-08
1047,6.458190184291666e-08
1048,6.898621169141833e-08
1049,7.416259053326797e-08
1050,8.002133147919881e-08
1051,8.106919832512764e-08
1052,7.76122784776773e-08
