,trend
1901,0.19090988440036336
1902,0.18923122254638988
1903,0.18839189161940317
1904,0.18839189161940317
1905,0.18839189161940317
1906,0.18839189161940317
1907,0.18839189161940317
1908,0.18839189161940317
1909,0.18839189161940317
1910,0.18839189161940317
1911,0.18839189161940317
1912,0.18839189161940317
1913,0.18839189161940317
1914,0.18705819243268407
1915,0.18439079405924588
1916,0.18172339568580767
1917,0.17905599731236946
1918,0.17772229812565038
1919,0.17772229812565038
1920,0.17772229812565038
1921,0.17740459527399238
1922,0.17676918957067636
1923,0.17613378386736037
1924,0.17549837816404434
1925,0.17518067531238632
1926,0.17518067531238632
1927,0.17518067531238632
1928,0.17518067531238632
1929,0.17518067531238632
1930,0.17518067531238632
1931,0.17518067531238632
1932,0.17518067531238632
1933,0.17518067531238632
1934,0.17518067531238632
1935,0.17518067531238632
1936,0.17518067531238632
1937,0.17518067531238632
1938,0.17518067531238632
1939,0.17518067531238632
1940,0.17518067531238632
1941,0.17518067531238632
1942,0.17350174359011347
1943,0.17014388014556778
1944,0.1667860167010221
1945,0.16342815325647642
1946,0.1617492215342036
1947,0.1617492215342036
1948,0.16371200921473986
1949,0.16763758457581238
1950,0.17156315993688487
1951,0.1754887352979574
1952,0.17745152297849362
1953,0.17745152297849362
1954,0.17745152297849362
1955,0.17745152297849362
1956,0.18142748276135792
1957,0.18937940232708653
1958,0.19733132189281513
1959,0.20528324145854374
1960,0.20925920124140804
1961,0.20925920124140804
1962,0.20925920124140804
1963,0.20925920124140804
1964,0.20925920124140804
1965,0.20925920124140804
1966,0.20925920124140804
1967,0.20925920124140804
1968,0.20925920124140804
1969,0.2104222298781656
1970,0.21274828715168076
1971,0.2150743444251959
1972,0.21740040169871105
1973,0.2185634303354686
1974,0.2185634303354686
1975,0.2185634303354686
1976,0.21845256015399775
1977,0.21823081979105605
1978,0.21787432942560714
1979,0.2168765769466765
1980,0.21548318253824242
1981,0.21420065831127913
1982,0.21305288408682313
1983,0.21254637197584877
1984,0.21254637197584877
1985,0.21754141777714406
1986,0.22829253471063507
1987,0.23980467697502647
1988,0.25131681923941795
1989,0.25783391570251407
1990,0.25770687323041674
1991,0.2561588753415218
1992,0.25483901516972746
1993,0.2535191549979331
1994,0.25308736262913645
1995,0.253315500346237
1996,0.253315500346237
1997,0.253315500346237
1998,0.253315500346237
1999,0.253315500346237
2000,0.253315500346237
2001,0.253315500346237
2002,0.253315500346237
2003,0.253315500346237
2004,0.253315500346237
2005,0.253315500346237
2006,0.253315500346237
2007,0.253315500346237
2008,0.253315500346237
2009,0.253315500346237
2010,0.253315500346237
2011,0.253315500346237
2012,0.253315500346237
2013,0.253315500346237
2014,0.253315500346237
2015,0.253315500346237
2016,0.253315500346237
2017,0.253315500346237
2018,0.253315500346237
2019,0.253315500346237
2020,0.253315500346237
2021,0.253315500346237
2022,0.253315500346237
2023,0.253315500346237
2024,0.253315500346237
2025,0.253315500346237
2026,0.253315500346237
2027,0.253315500346237
2028,0.253315500346237
2029,0.253315500346237
2030,0.253315500346237
2031,0.253315500346237
2032,0.253315500346237
2033,0.253315500346237
2034,0.253315500346237
2035,0.253315500346237
2036,0.253315500346237
2037,0.253315500346237
2038,0.253315500346237
2039,0.253315500346237
2040,0.253315500346237
2041,0.253315500346237
2042,0.253315500346237
2043,0.253315500346237
2044,0.253315500346237
2045,0.253315500346237
2046,0.253315500346237
2047,0.253315500346237
2048,0.253315500346237
2049,0.253315500346237
2050,0.253315500346237
2051,0.253315500346237
2052,0.253315500346237
2053,0.253315500346237
2054,0.253315500346237
2055,0.253315500346237
2056,0.253315500346237
2057,0.253315500346237
2058,0.253315500346237
2059,0.253315500346237
2060,0.253315500346237
2061,0.253315500346237
2062,0.253315500346237
2063,0.253315500346237
2064,0.253315500346237
2065,0.253315500346237
2066,0.253315500346237
2067,0.253315500346237
2068,0.253315500346237
2069,0.253315500346237
2070,0.253315500346237
2071,0.253315500346237
2072,0.253315500346237
2073,0.253315500346237
2074,0.253315500346237
2075,0.253315500346237
2076,0.253315500346237
2077,0.253315500346237
2078,0.253315500346237
2079,0.253315500346237
2080,0.253315500346237
2081,0.253315500346237
2082,0.253315500346237
2083,0.253315500346237
2084,0.253315500346237
2085,0.253315500346237
2086,0.253315500346237
2087,0.253315500346237
2088,0.253315500346237
2089,0.253315500346237
2090,0.253315500346237
2091,0.253315500346237
2092,0.253315500346237
2093,0.253315500346237
2094,0.253315500346237
2095,0.253315500346237
2096,0.253315500346237
2097,0.253315500346237
2098,0.253315500346237
2099,0.253315500346237
2100,0.253315500346237
2101,0.253315500346237
2102,0.253315500346237
2103,0.253315500346237
2104,0.253315500346237
2105,0.253315500346237
2106,0.253315500346237
2107,0.253315500346237
2108,0.253315500346237
2109,0.253315500346237
2110,0.253315500346237
2111,0.253315500346237
2112,0.253315500346237
2113,0.253315500346237
2114,0.253315500346237
2115,0.253315500346237
2116,0.253315500346237
2117,0.253315500346237
2118,0.253315500346237
2119,0.253315500346237
2120,0.253315500346237
2121,0.253315500346237
2122,0.253315500346237
2123,0.253315500346237
2124,0.253315500346237
2125,0.253315500346237
2126,0.253315500346237
2127,0.253315500346237
2128,0.253315500346237
2129,0.253315500346237
2130,0.253315500346237
2131,0.253315500346237
2132,0.253315500346237
2133,0.253315500346237
2134,0.253315500346237
2135,0.253315500346237
2136,0.253315500346237
2137,0.253315500346237
2138,0.253315500346237
2139,0.253315500346237
2140,0.253315500346237
2141,0.253315500346237
2142,0.253315500346237
2143,0.253315500346237
2144,0.253315500346237
2145,0.253315500346237
2146,0.253315500346237
2147,0.253315500346237
2148,0.253315500346237
2149,0.253315500346237
2150,0.253315500346237
2151,0.253315500346237
2152,0.253315500346237
2153,0.253315500346237
2154,0.253315500346237
2155,0.253315500346237
2156,0.253315500346237
2157,0.253315500346237
2158,0.253315500346237
2159,0.253315500346237
2160,0.253315500346237
2161,0.253315500346237
2162,0.253315500346237
2163,0.253315500346237
2164,0.253315500346237
2165,0.253315500346237
2166,0.253315500346237
2167,0.253315500346237
2168,0.253315500346237
2169,0.253315500346237
2170,0.253315500346237
2171,0.253315500346237
2172,0.253315500346237
2173,0.253315500346237
2174,0.253315500346237
2175,0.253315500346237
2176,0.253315500346237
2177,0.253315500346237
2178,0.253315500346237
2179,0.253315500346237
2180,0.253315500346237
2181,0.253315500346237
2182,0.253315500346237
2183,0.253315500346237
2184,0.253315500346237
2185,0.253315500346237
2186,0.253315500346237
2187,0.253315500346237
2188,0.253315500346237
2189,0.253315500346237
2190,0.253315500346237
2191,0.253315500346237
2192,0.253315500346237
2193,0.253315500346237
2194,0.253315500346237
2195,0.253315500346237
2196,0.253315500346237
2197,0.253315500346237
2198,0.253315500346237
2199,0.253315500346237
2200,0.253315500346237
2201,0.253315500346237
2202,0.253315500346237
2203,0.253315500346237
2204,0.253315500346237
2205,0.253315500346237
2206,0.253315500346237
2207,0.253315500346237
2208,0.2575795356744891
2209,0.2661076063309934
2210,0.27463567698749763
2211,0.2831637476440019
2212,0.287427782972254
2213,0.287427782972254
2214,0.287427782972254
2215,0.287427782972254
2216,0.287427782972254
2217,0.287427782972254
2218,0.287427782972254
2219,0.287427782972254
2220,0.287427782972254
2221,0.287427782972254
2222,0.287427782972254
2223,0.287427782972254
2224,0.287427782972254
2225,0.287427782972254
2226,0.287427782972254
2227,0.287427782972254
2228,0.293004138174816
2229,0.30415684857994013
2230,0.31530955898506424
2231,0.3264622693901883
2232,0.3320386245927503
2233,0.3320386245927503
2234,0.3320386245927503
2235,0.3320386245927503
2236,0.3306265445332794
2237,0.32780238441433757
2238,0.32497822429539575
2239,0.32215406417645387
2240,0.32074198411698296
2241,0.32074198411698296
2242,0.32074198411698296
2243,0.32074198411698296
2244,0.32074198411698296
2245,0.32074198411698296
2246,0.32074198411698296
2247,0.32074198411698296
2248,0.32074198411698296
2249,0.32074198411698296
2250,0.3199914551404222
2251,0.31849039718730077
2252,0.31698933923417927
2253,0.31548828128105777
2254,0.3147377523044971
2255,0.3147377523044971
2256,0.3147377523044971
2257,0.3126071370087502
2258,0.30834590641725634
2259,0.30408467582576254
2260,0.29982344523426874
2261,0.2976928299385218
2262,0.2976928299385218
2263,0.2976928299385218
2264,0.2976928299385218
2265,0.2976928299385218
2266,0.2976928299385218
2267,0.2976928299385218
2268,0.2976928299385218
2269,0.2976928299385218
2270,0.2976928299385218
2271,0.2976928299385218
2272,0.2976928299385218
2273,0.2976928299385218
2274,0.2976928299385218
2275,0.2976928299385218
2276,0.2976928299385218
2277,0.2948953880329015
2278,0.28902711290576455
2279,0.28288544646273117
2280,0.27674378001969774
2281,0.27339955548228456
2282,0.27312616416638813
2283,0.27312616416638813
2284,0.27312616416638813
2285,0.27212429643355046
2286,0.27012056096787523
2287,0.26811682550219995
2288,0.2661130900365247
2289,0.26511122230368706
2290,0.26511122230368706
2291,0.26511122230368706
2292,0.26511122230368706
2293,0.26511122230368706
2294,0.26511122230368706
2295,0.26511122230368706
2296,0.26511122230368706
2297,0.26511122230368706
2298,0.26511122230368706
2299,0.26511122230368706
2300,0.26511122230368706
2301,0.26511122230368706
2302,0.26511122230368706
2303,0.26511122230368706
2304,0.26511122230368706
2305,0.26511122230368706
2306,0.2649772832556561
2307,0.26470940515959424
2308,0.2644415270635324
2309,0.26417364896747053
2310,0.2640397099194396
2311,0.2640397099194396
2312,0.2640397099194396
2313,0.2640397099194396
2314,0.2640397099194396
2315,0.2640397099194396
2316,0.2640397099194396
2317,0.2640397099194396
2318,0.2640397099194396
2319,0.2640397099194396
2320,0.264018999577047
2321,0.26397757889226175
2322,0.2639361582074765
2323,0.2638947375226913
2324,0.2638740271802987
2325,0.2638740271802987
2326,0.2638740271802987
2327,0.2638740271802987
2328,0.2638740271802987
2329,0.2638740271802987
2330,0.2638740271802987
2331,0.2638740271802987
2332,0.2638740271802987
2333,0.2638740271802987
2334,0.2638740271802987
2335,0.2638740271802987
2336,0.2638740271802987
2337,0.2638740271802987
2338,0.2638740271802987
2339,0.2638740271802987
2340,0.2638740271802987
2341,0.2638740271802987
2342,0.2638740271802987
2343,0.2638740271802987
2344,0.2638740271802987
2345,0.2638740271802987
2346,0.2638740271802987
2347,0.2638740271802987
2348,0.2638740271802987
2349,0.2638740271802987
2350,0.2638740271802987
2351,0.2638740271802987
2352,0.2638740271802987
2353,0.2638740271802987
2354,0.2638740271802987
2355,0.2638740271802987
2356,0.2574877247828842
2357,0.2449361999092622
2358,0.23268576104410368
2359,0.22054303631779348
2360,0.21433227260927565
2361,0.2138079801576156
2362,0.21267809489758183
2363,0.21110099217496547
2364,0.20946560385408017
2365,0.2072187194533528
2366,0.2043972784779115
2367,0.2014146893770972
2368,0.19836884788884038
2369,0.19579350603860599
