49073.9 	14.3	1.43
49074 	14.3	1.43
49085.8 	15.8	1.58
49086.8 	15.6	1.56
49087.8 	15.7	1.57
49087.9 	14.3	1.43
49088.1 	14.2	1.42
49090.1 	14.2	1.42
49091.1 	14.2	1.42
49092.1 	14.4	1.44
49094.8 	15.6	1.56
49094.9 	14.9	1.49
49095.1 	14.1	1.41
49095.3 	15.5	1.55
49097.8 	15.6	1.56
49098.9 	14.9	1.49
49098.9 	13.6	1.36
49099.8 	15.8	1.58
49101.1 	14.2	1.42
49102.8 	15.7	1.57
49102.9 	14.3	1.43
49103.3 	15.5	1.55
49117.3 	14.9	1.49
49118.3 	14.9	1.49
49118.8 	15.2	1.52
49119.3 	14.9	1.49
49119.8 	15.9	1.59
49120.1 	14.1	1.41
49120.3 	14.9	1.49
49122.3 	14.9	1.49
49126.8 	11.0	1.1
49127.3 	14.9	1.49
49129.8 	15.5	1.55
49130.3 	15.5	1.55
49131.3 	14.9	1.49
49133.7 	10.0	1
49146.3 	14.9	1.49
49147.3 	14.9	1.49
49149.3 	14.9	1.49
49151.3 	14.9	1.49
49152.3 	14.9	1.49
49288.2 	14.6	1.46
49303.1 	14.9	1.49
49306.1 	14.9	1.49
49309 	14.3	1.43
49310 	14.6	1.46
49311 	14.9	1.49
49316.2 	14.6	1.46
49328.3 	15.3	1.53
49329 	14.8	1.48
49329.2 	14.9	1.49
49330.2 	14.6	1.46
49331 	14.6	1.46
49331.2 	15.0	1.5
49332.2 	15.0	1.5
49333 	14.3	1.43
49335 	15.1	1.51
49335.3 	15.4	1.54
49336.3 	15.3	1.53
49336.6 	14.9	1.49
49338 	14.6	1.46
49338.2 	14.8	1.48
49338.3 	14.3	1.43
49339.2 	15.4	1.54
49340.2 	15.4	1.54
49342.3 	14.9	1.49
49342.3 	14.9	1.49
49343.2 	14.6	1.46
49343.2 	14.9	1.49
49344 	15.4	1.54
49344.2 	13.4	1.34
49345.6 	13.5	1.35
49346.2 	13.6	1.36
49348.3 	13.2	1.32
49354.9 	14.9	1.49
49355.2 	15.5	1.55
49355.9 	15.8	1.58
49356 	14.9	1.49
49356.2 	15.5	1.55
49356.4 	13.8	1.38
49356.9 	15.7	1.57
49357.1 	14.9	1.49
49357.2 	14.9	1.49
49357.4 	13.4	1.34
49357.9 	15.7	1.57
49358.6 	13.2	1.32
49359.5 	13.8	1.38
49360 	14.3	1.43
49360.1 	14.9	1.49
49360.1 	14.6	1.46
49360.6 	13.8	1.38
49361.2 	15.6	1.56
49361.5 	13.8	1.38
49361.6 	13.5	1.35
49362.1 	14.9	1.49
49362.3 	13.5	1.35
49362.6 	13.6	1.36
49363.1 	15.6	1.56
49363.4 	13.4	1.34
49364.1 	15.5	1.55
49364.9 	15.7	1.57
49365.1 	15.5	1.55
49365.6 	13.0	1.3
49366 	14.9	1.49
49366.1 	14.3	1.43
49366.2 	15.1	1.51
49366.5 	13.4	1.34
49366.9 	14.9	1.49
49367 	14.6	1.46
49367.1 	15.3	1.53
49367.2 	15.1	1.51
49367.6 	13.5	1.35
49367.9 	15.7	1.57
49368.4 	13.4	1.34
49369.1 	14.9	1.49
49369.6 	13.4	1.34
49370.5 	13.0	1.3
49371.1 	14.9	1.49
49371.4 	13.4	1.34
49371.9 	15.7	1.57
49372.1 	14.6	1.46
49373.1 	14.2	1.42
49374 	13.4	1.34
49374.1 	14.6	1.46
49377.1 	13.4	1.34
49381.8 	14.1	1.41
49382.9 	14.6	1.46
49383.3 	13.4	1.34
49384.1 	15.5	1.55
49384.3 	13.4	1.34
49385 	14.9	1.49
49385.1 	15.5	1.55
49386.2 	15.3	1.53
49386.2 	14.0	1.4
49386.4 	13.8	1.38
49387.2 	15.0	1.5
49387.9 	13.6	1.36
49389 	14.9	1.49
49389 	13.6	1.36
49389.2 	14.0	1.4
49389.3 	13.4	1.34
49389.8 	14.7	1.47
49389.8 	14.9	1.49
49390.2 	14.3	1.43
49390.3 	13.5	1.35
49390.5 	13.4	1.34
49391.9 	14.9	1.49
49393.1 	15.5	1.55
49393.3 	13.4	1.34
49394.1 	15.6	1.56
49395.9 	14.6	1.46
49397.8 	15.4	1.54
49397.9 	14.9	1.49
49398 	14.3	1.43
49398.1 	13.4	1.34
49398.1 	15.2	1.52
49398.3 	14.6	1.46
49399.1 	15.2	1.52
49399.8 	15.4	1.54
49399.9 	14.9	1.49
49400.8 	14.3	1.43
49402 	13.2	1.32
49402.1 	14.3	1.43
49405.1 	14.1	1.41
49410.7 	15.8	1.58
49411.1 	15.4	1.54
49412 	14.5	1.45
49413.2 	14.9	1.49
49413.8 	14.9	1.49
49413.9 	14.9	1.49
49413.9 	14.9	1.49
49414.1 	14.9	1.49
49414.1 	14.9	1.49
49414.4 	13.4	1.34
49414.8 	14.6	1.46
49414.8 	14.5	1.45
49414.9 	14.6	1.46
49414.9 	14.7	1.47
49414.9 	14.6	1.46
49414.9 	14.5	1.45
49414.9 	14.5	1.45
49415 	14.6	1.46
49415.3 	14.8	1.48
49415.3 	13.4	1.34
49415.8 	14.8	1.48
49415.9 	13.2	1.32
49415.9 	14.7	1.47
49416 	14.8	1.48
49416.2 	15.0	1.5
49416.3 	12.4	1.24
49416.9 	15.2	1.52
49417.1 	14.9	1.49
49417.1 	14.3	1.43
49417.1 	15.0	1.5
49418.1 	15.2	1.52
49418.8 	15.1	1.51
49419 	14.1	1.41
49419.3 	12.4	1.24
49419.5 	13.5	1.35
49419.8 	15.7	1.57
49419.8 	15.0	1.5
49420.3 	13.4	1.34
49420.8 	14.9	1.49
49420.9 	13.6	1.36
49421 	15.5	1.55
49421.1 	15.4	1.54
49421.3 	14.3	1.43
49421.8 	14.3	1.43
49421.8 	14.9	1.49
49421.8 	14.9	1.49
49422.2 	15.5	1.55
49422.8 	15.8	1.58
49422.9 	14.9	1.49
49423.1 	14.0	1.4
49423.3 	13.4	1.34
49423.8 	15.5	1.55
49424 	14.3	1.43
49424.2 	13.4	1.34
49425.1 	15.5	1.55
49425.2 	13.3	1.33
49425.8 	15.3	1.53
49426.2 	15.6	1.56
49426.2 	13.4	1.34
49426.9 	14.9	1.49
49427.3 	13.4	1.34
49428.1 	14.3	1.43
49428.2 	15.6	1.56
49428.9 	15.3	1.53
49428.9 	14.8	1.48
49429.1 	15.3	1.53
49430.4 	13.4	1.34
49431 	14.6	1.46
49431.3 	13.4	1.34
49432.2 	14.2	1.42
49433.1 	14.6	1.46
49438.1 	14.3	1.43
49440.2 	14.9	1.49
49440.8 	14.6	1.46
49440.9 	13.4	1.34
