-4561-11-08	5.03400
-4563-08-20	2.97433
-4557-02-10	2.88086
-4559-06-20	5.25645
-4563-11-08	2.66930
-4555-10-07	6.71218
-4558-02-25	4.36663
-4561-04-12	7.32155
-4563-04-12	2.75508
-4562-04-27	4.60098
-4555-07-09	5.92073
-4555-03-11	3.62138
-4556-03-26	5.23333
-4560-11-12	6.14504
-4562-11-13	6.98799
-4563-07-01	3.31121
-4552-07-13	6.52643
-4554-10-12	5.03743
-4556-06-14	3.81050
-4563-11-28	2.73675
-4555-10-27	6.60762
-4560-04-06	7.27593
-4558-12-02	4.57004
-4552-10-31	4.38975
-4559-12-17	3.65535
-4559-09-18	4.59180
-4563-07-21	2.93137
-4559-05-21	6.33028
-4559-01-11	6.08643
-4561-03-13	8.34251
-4555-06-09	4.84528
-4556-02-25	6.33865
-4560-04-26	7.49422
-4558-12-22	3.80337
-4560-10-13	4.95305
-4558-09-23	4.75091
-4563-06-01	3.17514
-4559-04-01	6.96333
-4560-07-15	6.87899
-4562-10-14	6.54599
-4557-01-31	2.90412
-4561-07-01	4.72700
-4563-10-29	2.70345
-4552-02-04	5.90328
-4554-06-14	8.00356
-4562-07-16	4.91221
-4553-10-27	6.17758
-4555-06-29	5.23932
-4556-01-06	5.50683
-4560-03-07	7.10268
-4554-12-01	4.86034
-4555-02-19	3.26038
-4558-11-02	4.23932
-4558-01-06	3.55790
-4554-09-02	5.66514
-4556-12-01	3.10299
-4559-11-17	4.70442
-4562-03-08	4.43719
-4556-09-02	4.39900
-4563-06-21	3.46979
-4557-12-17	5.59046
-4563-02-11	3.07877
-4555-01-10	3.41214
-4557-09-18	4.82942
-4561-07-21	4.52104
-4557-05-21	4.40074
-4556-01-26	6.09888
-4553-06-09	6.27317
-4554-12-21	5.38241
-4558-11-22	4.82925
-4558-01-26	3.50531
-4554-09-22	5.15717
-4556-12-21	3.58440
-4562-03-28	4.68945
-4556-09-22	4.06889
-4558-08-24	5.14851
-4563-05-02	3.01137
-4559-03-02	6.09350
-4555-01-30	3.45180
-4557-04-01	2.78585
-4562-06-16	4.37815
-4554-05-15	7.75470
-4558-04-16	5.87846
-4561-10-29	5.09548
-4562-02-06	3.86234
-4554-01-05	6.96810
-4562-12-03	8.19874
-4553-06-29	6.24917
-4556-11-01	2.87534
-4558-10-03	4.44063
-4562-09-04	5.79036
-4552-09-01	4.91812
-4553-02-19	7.57537
-4553-12-16	6.54049
-4557-11-17	6.02916
-4558-07-05	4.32602
-4563-05-22	3.08120
-4555-12-16	6.26085
-4561-06-21	4.72647
-4563-01-12	2.71485
-4555-09-17	7.09695
-4557-08-19	4.31732
-4557-04-21	3.38460
-4560-02-26	7.37115
-4561-02-11	8.65227
-4553-01-10	7.20855
-4562-02-26	4.25869
-4554-01-25	7.23607
-4562-12-23	9.72202
-4552-12-20	4.64128
-4558-10-23	4.02590
-4562-09-24	5.86805
-4552-09-21	5.00932
-4557-07-10	5.43063
-4556-08-23	4.42352
-4558-07-25	4.68211
-4559-07-10	5.08347
-4561-05-02	5.45803
-4557-03-02	3.03461
-4560-06-15	8.03313
-4562-05-17	4.40110
-4552-05-14	5.84691
-4553-01-30	7.04221
-4558-03-17	5.50604
-4551-01-19	5.77914
-4560-12-02	6.45903
-4556-10-02	3.81922
-4559-02-20	6.37603
-4553-11-16	6.11084
-4554-11-01	3.51024
-4561-12-18	7.13697
-4555-11-16	6.44794
-4556-07-04	3.41277
-4557-10-18	5.24413
-4561-09-19	3.13039
-4563-12-18	2.94815
-4559-10-18	4.84399
-4561-05-22	4.69647
-4557-03-22	2.85383
-4561-01-12	10.94355
-4562-01-27	3.69109
-4552-11-20	4.33239
-4560-12-22	6.43376
-4552-01-25	6.29386
-4560-09-23	5.12435
-4552-08-22	5.14134
-4554-11-21	4.24733
-4556-07-24	3.49545
-4561-04-02	8.06826
-4553-03-01	7.67563
-4563-04-02	2.59474
-4562-04-17	4.68680
-4555-03-01	3.53373
-4560-05-16	8.36949
-4556-03-16	5.64651
-4560-11-02	6.01519
-4552-10-01	4.68305
-4563-08-30	3.03368
-4552-07-03	6.63334
-4554-10-02	5.13626
-4556-06-04	4.14235
-4557-02-20	2.87872
-4563-11-18	2.62997
-4555-10-17	6.58819
-4558-06-05	4.07774
-4563-04-22	2.93728
-4555-07-19	5.63232
-4560-11-22	6.24332
-4552-10-21	4.46374
-4559-12-07	3.90879
-4560-01-27	7.52581
-4559-09-08	4.67486
-4560-08-24	6.46188
-4562-11-23	7.68439
-4552-07-23	5.97831
-4554-10-22	4.86266
-4557-01-01	3.41456
-4559-05-11	6.72681
-4559-01-01	6.06861
-4561-03-03	8.60622
-4562-08-25	5.73115
-4554-07-24	7.91097
-4558-06-25	4.12173
-4560-04-16	7.36898
-4558-12-12	4.18715
-4560-10-03	4.83306
-4559-12-27	3.68158
-4559-09-28	4.72984
-4560-07-05	7.36286
-4563-07-31	3.00990
-4556-05-05	5.17007
-4557-01-21	2.81938
-4554-06-04	7.50499
-4559-01-21	6.24213
-4561-03-23	8.31572
-4562-07-06	4.64277
-4553-10-17	6.49276
-4558-05-06	4.73020
-4563-03-23	2.51692
-4555-02-09	3.21065
-4553-07-19	6.27411
-4559-11-07	4.83896
-4560-10-23	5.68719
-4563-06-11	3.41522
-4557-12-07	5.64119
-4560-07-25	6.87000
-4563-02-01	2.93577
-4556-05-25	4.54051
-4557-09-08	4.81311
-4561-07-11	4.52675
-4554-06-24	7.81707
-4557-05-11	4.03336
-4554-02-14	8.90617
-4560-03-17	6.96110
-4558-11-12	4.54890
-4558-01-16	3.61667
-4554-09-12	5.45168
-4556-12-11	3.19906
-4562-03-18	4.64797
-4556-09-12	4.62474
-4555-05-30	4.79575
-4557-12-27	5.49565
-4559-08-29	4.48487
-4563-02-21	2.96865
-4555-01-20	3.26737
-4552-06-03	5.94450
-4554-12-31	6.37771
-4553-02-09	7.38276
-4556-12-31	3.62440
-4557-11-07	5.99541
-4563-05-12	3.07935
-4555-12-06	6.15512
-4559-03-12	6.76441
-4561-06-11	4.65880
-4553-05-10	6.27331
-4555-09-07	6.93784
-4557-04-11	2.95820
-4560-02-16	7.48708
-4561-02-01	9.13368
-4562-06-26	4.27866
-4552-06-23	6.47917
-4562-02-16	4.08263
-4562-12-13	8.96449
-4558-10-13	4.40905
-4562-09-14	5.71292
-4553-12-26	6.70712
-4557-11-27	5.93109
-4558-07-15	4.60491
-4555-12-26	6.78143
-4563-01-22	2.81480
-4555-09-27	7.10965
-4557-08-29	4.71216
-4560-06-05	6.11115
-4561-02-21	8.72933
-4562-05-07	4.44933
-4552-05-04	5.81057
-4553-01-20	6.76837
-4551-01-09	5.38398
-4552-12-30	5.03527
-4559-02-10	6.31246
-4553-11-06	6.06823
-4557-07-20	5.53254
-4561-12-08	7.16354
-4555-11-06	6.63946
-4557-10-08	5.11859
-4559-07-20	4.84508
-4561-09-09	3.20998
-4563-12-08	2.91528
-4553-04-10	7.67571
-4559-10-08	4.70098
-4561-05-12	5.04047
-4563-09-09	3.05609
-4560-06-25	7.66177
-4561-01-02	10.70455
-4562-05-27	4.57972
-4551-01-29	5.75658
-4552-11-10	4.33782
-4560-12-12	6.47268
-4552-01-15	6.62134
-4556-10-12	3.35200
-4560-09-13	5.72436
-4553-11-26	6.31418
-4554-11-11	4.34313
-4555-11-26	6.59040
-4556-07-14	3.34103
-4557-10-28	5.35874
-4558-02-05	3.88927
-4561-09-29	3.54241
-4563-12-28	3.17551
-4559-10-28	4.75198
-4562-04-07	4.61416
-4554-03-06	9.57603
-4555-08-28	7.28003
-4561-01-22	10.22065
-4556-03-06	6.27849
-4552-11-30	4.61055
-4561-08-20	3.53772
