-4561-11-08	5.03400	0.5034
-4563-08-20	2.97433	0.297433
-4557-02-10	2.88086	0.288086
-4559-06-20	5.25645	0.525645
-4563-11-08	2.66930	0.26693
-4555-10-07	6.71218	0.671218
-4558-02-25	4.36663	0.436663
-4561-04-12	7.32155	0.732155
-4563-04-12	2.75508	0.275508
-4562-04-27	4.60098	0.460098
-4555-07-09	5.92073	0.592073
-4555-03-11	3.62138	0.362138
-4556-03-26	5.23333	0.523333
-4560-11-12	6.14504	0.614504
-4562-11-13	6.98799	0.698799
-4563-07-01	3.31121	0.331121
-4552-07-13	6.52643	0.652643
-4554-10-12	5.03743	0.503743
-4556-06-14	3.81050	0.38105
-4563-11-28	2.73675	0.273675
-4555-10-27	6.60762	0.660762
-4560-04-06	7.27593	0.727593
-4558-12-02	4.57004	0.457004
-4552-10-31	4.38975	0.438975
-4559-12-17	3.65535	0.365535
-4559-09-18	4.59180	0.45918
-4563-07-21	2.93137	0.293137
-4559-05-21	6.33028	0.633028
-4559-01-11	6.08643	0.608643
-4561-03-13	8.34251	0.834251
-4555-06-09	4.84528	0.484528
-4556-02-25	6.33865	0.633865
-4560-04-26	7.49422	0.749422
-4558-12-22	3.80337	0.380337
-4560-10-13	4.95305	0.495305
-4558-09-23	4.75091	0.475091
-4563-06-01	3.17514	0.317514
-4559-04-01	6.96333	0.696333
-4560-07-15	6.87899	0.687899
-4562-10-14	6.54599	0.654599
-4557-01-31	2.90412	0.290412
-4561-07-01	4.72700	0.4727
-4563-10-29	2.70345	0.270345
-4552-02-04	5.90328	0.590328
-4554-06-14	8.00356	0.800356
-4562-07-16	4.91221	0.491221
-4553-10-27	6.17758	0.617758
-4555-06-29	5.23932	0.523932
-4556-01-06	5.50683	0.550683
-4560-03-07	7.10268	0.710268
-4554-12-01	4.86034	0.486034
-4555-02-19	3.26038	0.326038
-4558-11-02	4.23932	0.423932
-4558-01-06	3.55790	0.35579
-4554-09-02	5.66514	0.566514
-4556-12-01	3.10299	0.310299
-4559-11-17	4.70442	0.470442
-4562-03-08	4.43719	0.443719
-4556-09-02	4.39900	0.4399
-4563-06-21	3.46979	0.346979
-4557-12-17	5.59046	0.559046
-4563-02-11	3.07877	0.307877
-4555-01-10	3.41214	0.341214
-4557-09-18	4.82942	0.482942
-4561-07-21	4.52104	0.452104
-4557-05-21	4.40074	0.440074
-4556-01-26	6.09888	0.609888
-4553-06-09	6.27317	0.627317
-4554-12-21	5.38241	0.538241
-4558-11-22	4.82925	0.482925
-4558-01-26	3.50531	0.350531
-4554-09-22	5.15717	0.515717
-4556-12-21	3.58440	0.35844
-4562-03-28	4.68945	0.468945
-4556-09-22	4.06889	0.406889
-4558-08-24	5.14851	0.514851
-4563-05-02	3.01137	0.301137
-4559-03-02	6.09350	0.60935
-4555-01-30	3.45180	0.34518
-4557-04-01	2.78585	0.278585
-4562-06-16	4.37815	0.437815
-4554-05-15	7.75470	0.77547
-4558-04-16	5.87846	0.587846
-4561-10-29	5.09548	0.509548
-4562-02-06	3.86234	0.386234
-4554-01-05	6.96810	0.69681
-4562-12-03	8.19874	0.819874
-4553-06-29	6.24917	0.624917
-4556-11-01	2.87534	0.287534
-4558-10-03	4.44063	0.444063
-4562-09-04	5.79036	0.579036
-4552-09-01	4.91812	0.491812
-4553-02-19	7.57537	0.757537
-4553-12-16	6.54049	0.654049
-4557-11-17	6.02916	0.602916
-4558-07-05	4.32602	0.432602
-4563-05-22	3.08120	0.30812
-4555-12-16	6.26085	0.626085
-4561-06-21	4.72647	0.472647
-4563-01-12	2.71485	0.271485
-4555-09-17	7.09695	0.709695
-4557-08-19	4.31732	0.431732
-4557-04-21	3.38460	0.33846
-4560-02-26	7.37115	0.737115
-4561-02-11	8.65227	0.865227
-4553-01-10	7.20855	0.720855
-4562-02-26	4.25869	0.425869
-4554-01-25	7.23607	0.723607
-4562-12-23	9.72202	0.972202
-4552-12-20	4.64128	0.464128
-4558-10-23	4.02590	0.40259
-4562-09-24	5.86805	0.586805
-4552-09-21	5.00932	0.500932
-4557-07-10	5.43063	0.543063
-4556-08-23	4.42352	0.442352
-4558-07-25	4.68211	0.468211
-4559-07-10	5.08347	0.508347
-4561-05-02	5.45803	0.545803
-4557-03-02	3.03461	0.303461
-4560-06-15	8.03313	0.803313
-4562-05-17	4.40110	0.44011
-4552-05-14	5.84691	0.584691
-4553-01-30	7.04221	0.704221
-4558-03-17	5.50604	0.550604
-4551-01-19	5.77914	0.577914
-4560-12-02	6.45903	0.645903
-4556-10-02	3.81922	0.381922
-4559-02-20	6.37603	0.637603
-4553-11-16	6.11084	0.611084
-4554-11-01	3.51024	0.351024
-4561-12-18	7.13697	0.713697
-4555-11-16	6.44794	0.644794
