JD	Magnitude	Uncertainty	HQuncertainty	Band	Observer Code	Comment Code(s)	Comp Star 1	Comp Star 2	Charts	Comments	Transfomed	Airmass	Validation Flag	Cmag	Kmag	HJD	Star Name	Observer Affiliation	Measurement Method	Grouping Method	ADS Reference	Digitizer	Credit
2457777.41909	14.076	0.009		R	PXR		R = 4UC551-045646	S = 4UC551-045647	BAA VSS 251.02 + APA		0		Z	14.503	14.835		OJ 287	BAA-VSS	STD				
2457777.41980	14.097	0.009		R	PXR		R = 4UC551-045646	S = 4UC551-045647	BAA VSS 251.02 + APA		0		Z	14.503	14.844		OJ 287	BAA-VSS	STD				
2457777.42053	14.085	0.010		R	PXR		R = 4UC551-045646	S = 4UC551-045647	BAA VSS 251.02 + APA		0		Z	14.503	14.848		OJ 287	BAA-VSS	STD				
2457777.42125	14.107	0.012		R	PXR		R = 4UC551-045646	S = 4UC551-045647	BAA VSS 251.02 + APA		0		Z	14.503	14.828		OJ 287	BAA-VSS	STD				
2457777.42197	14.093	0.011		R	PXR		R = 4UC551-045646	S = 4UC551-045647	BAA VSS 251.02 + APA		0		Z	14.503	14.861		OJ 287	BAA-VSS	STD				
2457777.45205	14.155	0.017		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.205	Z		13.327	2457777.45769	OJ 287	AAVSO	STD				
2457777.45241	14.247	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.203	Z		13.327	2457777.45805	OJ 287	AAVSO	STD				
2457777.45276	14.230	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.202	Z		13.327	2457777.45840	OJ 287	AAVSO	STD				
2457777.45312	14.234	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.201	Z		13.327	2457777.45876	OJ 287	AAVSO	STD				
2457777.45349	14.214	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.199	Z		13.327	2457777.45913	OJ 287	AAVSO	STD				
2457777.45388	14.161	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.198	Z		13.327	2457777.45952	OJ 287	AAVSO	STD				
2457777.45423	14.161	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.196	Z		13.327	2457777.45987	OJ 287	AAVSO	STD				
2457777.45570	14.224	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.191	Z		13.327	2457777.46134	OJ 287	AAVSO	STD				
2457777.45611	14.214	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.190	Z		13.327	2457777.46175	OJ 287	AAVSO	STD				
2457777.45675	14.205	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.187	Z		13.327	2457777.46239	OJ 287	AAVSO	STD				
2457777.45710	14.258	0.019		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.186	Z		13.327	2457777.46274	OJ 287	AAVSO	STD				
2457777.45746	14.220	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.185	Z		13.327	2457777.46310	OJ 287	AAVSO	STD				
2457777.45783	14.259	0.019		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.183	Z		13.327	2457777.46347	OJ 287	AAVSO	STD				
2457777.45819	14.269	0.019		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.182	Z		13.327	2457777.46383	OJ 287	AAVSO	STD				
2457777.45856	14.158	0.018		V	AFSA		NA	000-BLX-797	X19023BEF		0	1.181	Z		13.327	2457777.46420	OJ 287	AAVSO	STD				
2457777.46697	14.048	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.196	Z	-12.462		2457777.47261	OJ 287	AAM	STD				
2457777.47050	14.057	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.186	Z	-12.659		2457777.47614	OJ 287	AAM	STD				
2457777.47403	14.051	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.177	Z	-12.656		2457777.47967	OJ 287	AAM	STD				
2457777.47754	14.054	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.168	Z	-12.663		2457777.48318	OJ 287	AAM	STD				
2457777.48107	14.047	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.159	Z	-12.658		2457777.48671	OJ 287	AAM	STD				
2457777.48460	14.048	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.152	Z	-12.660		2457777.49024	OJ 287	AAM	STD				
2457777.511	14.17			TG	BOA		NA				0		Z				OJ 287	AFOEV	STD				
2457777.600017	14.151	0.082		CV	HKEB		ENSEMBLE	000-BBQ-061	15545BEK	OTHER	1	1.020	Z		13.600		OJ 287	AAVSO	STD				
2457778.44354	14.112	0.041		V	ATE		NA	146	X16659HL		0	1.224	Z		14.573	2457778.44919	OJ 287	AAVSO	STD				
2457778.44625	14.105	0.035		V	ATE		NA	146	X16659HL		0	1.214	Z		14.568	2457778.45190	OJ 287	AAVSO	STD				
2457778.44940	14.099	0.035		V	ATE		NA	146	X16659HL		0	1.203	Z		14.582	2457778.45505	OJ 287	AAVSO	STD				
2457778.50712	14.145	0.077		V	GCO		ENSEMBLE	000-BBQ-043	7193UE	EXP.TIME= 3X300SEC.-STACK METHOD: AVERAGE-'ACP->LX200GPS/R'-'SBIG ST-7 DUAL CCD CAMERA'	0	1.111	Z		12.828		OJ 287	AAVSO	STD	0			
2457779.39903	14.046	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.502	Z	-12.480		2457779.40469	OJ 287	AAM	STD				
2457779.40220	14.029	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.478	Z	-12.476		2457779.40786	OJ 287	AAM	STD				
2457779.40537	14.028	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.456	Z	-12.476		2457779.41103	OJ 287	AAM	STD				
2457779.40856	14.033	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.435	Z	-12.487		2457779.41422	OJ 287	AAM	STD				
2457779.41173	14.022	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.415	Z	-12.474		2457779.41739	OJ 287	AAM	STD				
2457779.41491	14.027	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.395	Z	-12.492		2457779.42057	OJ 287	AAM	STD				
2457779.41808	14.033	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.377	Z	-12.494		2457779.42374	OJ 287	AAM	STD				
2457779.42125	14.015	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.359	Z	-12.462		2457779.42691	OJ 287	AAM	STD				
2457779.42443	14.029	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.343	Z	-12.454		2457779.43009	OJ 287	AAM	STD				
2457779.42760	14.026	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.327	Z	-12.412		2457779.43326	OJ 287	AAM	STD				
2457779.43079	14.025	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.311	Z	-12.425		2457779.43645	OJ 287	AAM	STD				
2457779.43396	14.034	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.297	Z	-12.396		2457779.43962	OJ 287	AAM	STD				
2457779.43714	14.036	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.283	Z	-12.420		2457779.44280	OJ 287	AAM	STD				
2457779.44032	14.041	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.270	Z	-12.445		2457779.44598	OJ 287	AAM	STD				
2457779.44351	14.052	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.257	Z	-12.492		2457779.44917	OJ 287	AAM	STD				
2457779.44668	14.020	0.009		CV	GFDB		000-BBQ-029		X15647EI		0	1.245	Z	-12.502		2457779.45234	OJ 287	AAM	STD				
2457779.44986	14.031	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.233	Z	-12.487		2457779.45552	OJ 287	AAM	STD				
2457779.45303	14.041	0.010		CV	GFDB		000-BBQ-029		X15647EI		0	1.223	Z	-12.412		2457779.45869	OJ 287	AAM	STD				
2457779.45621	14.029	0.011		CV	GFDB		000-BBQ-029		X15647EI		0	1.212	Z	-12.232		2457779.46187	OJ 287	AAM	STD				
2457779.45754	14.195	0.034		V	ATE		NA	146	X16659HL		0	1.172	Z		14.575	2457779.46320	OJ 287	AAVSO	STD				
2457779.45938	14.044	0.012		CV	GFDB		000-BBQ-029		X15647EI		0	1.202	Z	-11.931		2457779.46504	OJ 287	AAM	STD				
